unit_id,name,state,disclosure_score,gradeable,letter,earnings_10_yrs_after_entry_median,earnings_10_yrs_after_entry_median_disputed,completion_completion_rate_4yr_150nt,completion_completion_rate_4yr_150nt_disputed,admissions_admission_rate_overall,admissions_admission_rate_overall_disputed,aid_median_debt_completers_overall,aid_median_debt_completers_overall_disputed,cost_tuition_in_state,cost_tuition_in_state_disputed,student_size,student_size_disputed
102553,University of Alaska Anchorage,AK,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
102580,Alaska Bible College,AK,0.500000,true,D,missing,false,reported,false,missing,false,missing,false,reported,false,reported,false
102614,University of Alaska Fairbanks,AK,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
102632,University of Alaska Southeast,AK,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
102669,Alaska Pacific University,AK,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
102711,Alaska Vocational Technical Center,AK,0.357143,true,F,reported,false,missing,false,missing,false,missing,false,missing,false,reported,false
102845,Charter College,AK,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
103501,Alaska Career College,AK,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
103741,Empire Beauty School-Tucson,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
103893,Carrington College-Phoenix North,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
103909,Carrington College-Mesa,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
103927,Carrington College-Tucson,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
103963,Miller-Motte College-Arizona Automotive Institute,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
104090,Brookline College-Phoenix,AZ,0.714286,true,C,reported,false,reported,false,missing,false,reported,false,missing,false,reported,false
104151,Arizona State University Campus Immersion,AZ,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
104160,Arizona Western College,AZ,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
104179,University of Arizona,AZ,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
104346,Central Arizona College,AZ,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
104391,Charles of Italy Beauty College,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
104425,Cochise County Community College District,AZ,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
104443,Empire Beauty School-Chandler,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
104568,Avalon Institute-Mesa,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
104577,Eastern Arizona College,AZ,0.714286,true,C,reported,false,reported,false,missing,false,missing,false,reported,false,reported,false
104586,Embry-Riddle Aeronautical University-Prescott,AZ,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
104665,The School of Architecture,AZ,0.000000,true,F,missing,false,missing,false,missing,false,missing,false,missing,false,missing,false
104708,Glendale Community College,AZ,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
104717,Grand Canyon University,AZ,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
105145,GateWay Community College,AZ,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
105154,Mesa Community College,AZ,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
105206,Mohave Community College,AZ,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
105215,Universal Technical Institute-Phoenix,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
105297,Dine College,AZ,0.714286,true,C,reported,false,reported,false,missing,false,missing,false,reported,false,reported,false
105330,Northern Arizona University,AZ,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
105349,Northland Pioneer College,AZ,0.714286,true,C,reported,false,reported,false,missing,false,missing,false,reported,false,reported,false
105428,Phoenix College,AZ,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
105525,Pima Community College,AZ,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
105534,Pima Medical Institute-Tucson,AZ,0.714286,true,C,reported,false,reported,false,missing,false,reported,false,missing,false,reported,false
105543,Pima Medical Institute-Albuquerque,NM,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
105589,Prescott College,AZ,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
105659,Refrigeration School Inc,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
105668,Rio Salado College,AZ,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
105677,Roberto-Venn School of Luthiery,AZ,0.357143,true,F,reported,false,missing,false,missing,false,missing,false,missing,false,reported,false
105747,Scottsdale Community College,AZ,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
105792,South Mountain Community College,AZ,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
105899,Arizona Christian University,AZ,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
106041,Universal Technical Institute of Arizona Inc,AZ,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
